Tabelle: 22811-01i
Sozialberichterstattung in der amtlichen Statistik:;;
Mindestsicherungsquote - Gemeinden (Wohnortprinzip) -Jahr;;
Sozialberichterstattung in der amtlichen Statistik;;
Mindestsicherungsquote (Prozent);;
;;Jahr
05162016;      Kaarst, Stadt;6,2
05162020;      Korschenbroich, Stadt;4,8
05162022;      Meerbusch, Stadt;6,3
05162024;      Neuss, Stadt;10,8
05162028;      Rommerskirchen;5,1
05166;    Viersen, Kreis;7,9
05166004;      Brüggen;6,1
05166008;      Grefrath;7,0
05166012;      Kempen, Stadt;6,2
05166016;      Nettetal, Stadt;7,4
05166020;      Niederkrüchten;7,0
05166024;      Schwalmtal;8,0
05166028;      Tönisvorst, Stadt;7,8
05166032;      Viersen, Stadt;10,5
05166036;      Willich, Stadt;6,3
05170;    Wesel, Kreis;9,4
05170004;      Alpen;5,8
05170008;      Dinslaken, Stadt;10,0
05170012;      Hamminkeln, Stadt;6,0
05170016;      Hünxe;6,2
05170020;      Kamp-Lintfort, Stadt;10,8
05170024;      Moers, Stadt;11,6
05170028;      Neukirchen-Vluyn, Stadt;8,3
05170032;      Rheinberg, Stadt;6,8
05170036;      Schermbeck;7,0
05170040;      Sonsbeck;7,6
05170044;      Voerde (Niederrhein), Stadt;9,2
05170048;      Wesel, Stadt;11,0
05170052;      Xanten, Stadt;7,1
053;  Köln, Regierungsbezirk;10,2
05314;    Bonn, krfr. Stadt;11,2
05315;    Köln, krfr. Stadt;13,9
05316;    Leverkusen, krfr. Stadt;12,1
05334;    Städteregion Aachen (einschl. Stadt Aachen);10,4
05334002;      Aachen, krfr. Stadt (ab 21.10.2009);11,0
05334004;      Alsdorf, Stadt (ab 21.10.2009);11,7
05334008;      Baesweiler, Stadt (ab 21.10.2009);9,7
05334012;      Eschweiler, Stadt (ab 21.10.2009);11,3
05334016;      Herzogenrath, Stadt (ab 21.10.2009);8,2
05334020;      Monschau, Stadt (ab 21.10.2009);5,6
05334024;      Roetgen (ab 21.10.2009);4,8
05334028;      Simmerath (ab 21.10.2009);6,8
05334032;      Stolberg (Rhld.), Stadt (ab 21.10.2009);12,4
05334036;      Würselen, Stadt (ab 21.10.2009);8,6
05358;    Düren, Kreis;9,9
05358004;      Aldenhoven;9,2
05358008;      Düren, Stadt;15,6
05358012;      Heimbach, Stadt;8,4
05358016;      Hürtgenwald;6,1
05358020;      Inden;6,8
05358024;      Jülich, Stadt;8,2
05358028;      Kreuzau;5,0
05358032;      Langerwehe;6,1
05358036;      Linnich, Stadt;8,1
05358040;      Merzenich;6,0
05358044;      Nideggen, Stadt;5,6
05358048;      Niederzier;7,7
05358052;      Nörvenich;7,1
05358056;      Titz;5,8
05358060;      Vettweiß;5,1
05362;    Rhein-Erft-Kreis;8,6
05362004;      Bedburg, Stadt;7,3
05362008;      Bergheim, Stadt;12,4
05362012;      Brühl, Stadt;7,7
05362016;      Elsdorf, Stadt;8,0
05362020;      Erftstadt, Stadt;6,1
05362024;      Frechen, Stadt;10,0
05362028;      Hürth, Stadt;7,6
05362032;      Kerpen, Stadt;10,5
05362036;      Pulheim, Stadt;5,6
05362040;      Wesseling, Stadt;9,5
05366;    Euskirchen, Kreis;7,7
05366004;      Bad Münstereifel, Stadt;5,7
05366008;      Blankenheim;7,6
05366012;      Dahlem;5,0
05366016;      Euskirchen, Stadt;9,8
05366020;      Hellenthal;6,1
05366024;      Kall;6,7
05366028;      Mechernich, Stadt;6,8
05366032;      Nettersheim;9,2
05366036;      Schleiden, Stadt;10,1
05366040;      Weilerswist;5,2
05366044;      Zülpich, Stadt;6,5
05370;    Heinsberg, Kreis;8,4
05370004;      Erkelenz, Stadt;7,1
05370008;      Gangelt;7,0
05370012;      Geilenkirchen, Stadt;9,3
05370016;      Heinsberg, Stadt;8,8
05370020;      Hückelhoven, Stadt;10,3
05370024;      Selfkant;5,6
05370028;      Übach-Palenberg, Stadt;10,4
05370032;      Waldfeucht;5,0
05370036;      Wassenberg, Stadt;7,4
05370040;      Wegberg, Stadt;7,7
05374;    Oberbergischer Kreis;7,5
05374004;      Bergneustadt, Stadt;9,9
05374008;      Engelskirchen;5,4
05374012;      Gummersbach, Stadt;10,0
05374016;      Hückeswagen, Stadt;7,4
05374020;      Lindlar;5,0
05374024;      Marienheide;5,9
05374028;      Morsbach;6,9
05374032;      Nümbrecht;5,9
05374036;      Radevormwald, Stadt;8,3
05374040;      Reichshof;7,5
05374044;      Waldbröl, Stadt;9,3
05374048;      Wiehl, Stadt;5,4
05374052;      Wipperfürth, Stadt;6,3
05378;    Rheinisch-Bergischer Kreis;8,2
05378004;      Bergisch Gladbach, Stadt;9,6
05378008;      Burscheid, Stadt;8,4
05378012;      Kürten;6,8
05378016;      Leichlingen (Rhld.), Stadt;7,0
05378020;      Odenthal;4,8
05378024;      Overath, Stadt;7,5
05378028;      Rösrath, Stadt;8,2
05378032;      Wermelskirchen, Stadt;7,9
05382;    Rhein-Sieg-Kreis;7,8
05382004;      Alfter;5,8
05382008;      Bad Honnef, Stadt;6,7
05382012;      Bornheim, Stadt;6,2
05382016;      Eitorf;11,5
05382020;      Hennef (Sieg), Stadt;7,0
05382024;      Königswinter, Stadt;7,2
05382028;      Lohmar, Stadt;5,9
05382032;      Meckenheim, Stadt;7,9
05382036;      Much;7,6
05382040;      Neunkirchen-Seelscheid;6,5
05382044;      Niederkassel, Stadt;6,6
05382048;      Rheinbach, Stadt;5,9
05382052;      Ruppichteroth;6,7
05382056;      Sankt Augustin, Stadt;9,8
05382060;      Siegburg, Stadt;11,1
05382064;      Swisttal;5,5
05382068;      Troisdorf, Stadt;10,0
05382072;      Wachtberg;5,0
05382076;      Windeck;10,1
055;  Münster, Regierungsbezirk;10,2
05512;    Bottrop, krfr. Stadt;11,1
05513;    Gelsenkirchen, krfr. Stadt;21,7
05515;    Münster, krfr. Stadt;8,6
05554;    Borken, Kreis;6,3
05554004;      Ahaus, Stadt;5,3
05554008;      Bocholt, Stadt;7,9
05554012;      Borken, Stadt;6,1
05554016;      Gescher, Stadt;6,7
05554020;      Gronau (Westf.), Stadt;8,9
05554024;      Heek;4,2
05554028;      Heiden;5,2
05554032;      Isselburg, Stadt;5,3
05554036;      Legden;5,5
05554040;      Raesfeld;3,7
05554044;      Reken;4,8
05554048;      Rhede, Stadt;5,0
05554052;      Schöppingen;6,7
05554056;      Stadtlohn, Stadt;4,8
05554060;      Südlohn;3,9
05554064;      Velen, Stadt;5,3
05554068;      Vreden, Stadt;5,1
05558;    Coesfeld, Kreis;6,6
05558004;      Ascheberg;6,7
05558008;      Billerbeck, Stadt;5,5
05558012;      Coesfeld, Stadt;6,9
05558016;      Dülmen, Stadt;6,8
05558020;      Havixbeck;6,9
05558024;      Lüdinghausen, Stadt;7,7
05558028;      Nordkirchen;6,5
05558032;      Nottuln;6,5
05558036;      Olfen, Stadt;5,7
05558040;      Rosendahl;4,8
05558044;      Senden;6,9
05562;    Recklinghausen, Kreis;12,9
05562004;      Castrop-Rauxel, Stadt;12,8
05562008;      Datteln, Stadt;11,5
05562012;      Dorsten, Stadt;9,9
05562014;      Gladbeck, Stadt;17,4
05562016;      Haltern am See, Stadt;6,3
05562020;      Herten, Stadt;13,1
05562024;      Marl, Stadt;14,7
05562028;      Oer-Erkenschwick, Stadt;10,9
05562032;      Recklinghausen, Stadt;14,7
05562036;      Waltrop, Stadt;9,0
05566;    Steinfurt, Kreis;7,3
05566004;      Altenberge;5,9
05566008;      Emsdetten, Stadt;6,5
05566012;      Greven, Stadt;7,2
05566016;      Hörstel, Stadt;6,0
05566020;      Hopsten;6,1
05566024;      Horstmar, Stadt;5,9
05566028;      Ibbenbüren, Stadt;7,3
05566032;      Ladbergen;6,0
05566036;      Laer;6,8
05566040;      Lengerich, Stadt;7,2
05566044;      Lienen;5,7
05566048;      Lotte;7,4
05566052;      Metelen;6,6
05566056;      Mettingen;4,8
05566060;      Neuenkirchen;5,9
05566064;      Nordwalde;5,8
05566068;      Ochtrup, Stadt;8,1
05566072;      Recke;5,7
05566076;      Rheine, Stadt;9,1
05566080;      Saerbeck;5,9
05566084;      Steinfurt, Stadt;9,8
05566088;      Tecklenburg, Stadt;5,6
05566092;      Westerkappeln;6,8
05566096;      Wettringen;6,7
05570;    Warendorf, Kreis;7,6
05570004;      Ahlen, Stadt;11,6
05570008;      Beckum, Stadt;9,1
05570012;      Beelen;6,5
05570016;      Drensteinfurt, Stadt;5,7
05570020;      Ennigerloh, Stadt;8,2
05570024;      Everswinkel;5,4
05570028;      Oelde, Stadt;5,1
05570032;      Ostbevern;5,5
05570036;      Sassenberg, Stadt;5,5
05570040;      Sendenhorst, Stadt;6,6
05570044;      Telgte, Stadt;5,6
05570048;      Wadersloh;5,8
05570052;      Warendorf, Stadt;6,9
057;  Detmold, Regierungsbezirk;9,1
05711;    Bielefeld, krfr. Stadt;13,0
05754;    Gütersloh, Kreis;7,3
05754004;      Borgholzhausen, Stadt;6,2
05754008;      Gütersloh, Stadt;9,2
05754012;      Halle (Westf.), Stadt;7,5
05754016;      Harsewinkel, Stadt;6,1
05754020;      Herzebrock-Clarholz;5,5
05754024;      Langenberg;5,1
05754028;      Rheda-Wiedenbrück, Stadt;7,4
05754032;      Rietberg, Stadt;6,6
05754036;      Schloß Holte-Stukenbrock, Stadt;5,5
05754040;      Steinhagen;6,9
05754044;      Verl, Stadt;5,3
05754048;      Versmold, Stadt;7,4
05754052;      Werther (Westf.), Stadt;7,0
05758;    Herford, Kreis;8,5
05758004;      Bünde, Stadt;7,7
05758008;      Enger, Stadt;6,5
05758012;      Herford, Stadt;13,0
05758016;      Hiddenhausen;6,1
05758020;      Kirchlengern;5,7
05758024;      Löhne, Stadt;7,7
05758028;      Rödinghausen;6,2
05758032;      Spenge, Stadt;5,2
05758036;      Vlotho, Stadt;6,3
05762;    Höxter, Kreis;7,3
05762004;      Bad Driburg, Stadt;9,5
05762008;      Beverungen, Stadt;8,4
05762012;      Borgentreich, Stadt;9,2
05762016;      Brakel, Stadt;6,7
05762020;      Höxter, Stadt;7,0
05762024;      Marienmünster, Stadt;4,9
05762028;      Nieheim, Stadt;6,0
05762032;      Steinheim, Stadt;5,9
05762036;      Warburg, Stadt;6,9
05762040;      Willebadessen, Stadt;6,5
05766;    Lippe, Kreis;8,9
05766004;      Augustdorf;7,3
05766008;      Bad Salzuflen, Stadt;10,7
05766012;      Barntrup, Stadt;9,9
05766016;      Blomberg, Stadt;5,9
05766020;      Detmold, Stadt;11,3
05766024;      Dörentrup;6,6
05766028;      Extertal;8,3
05766032;      Horn-Bad Meinberg, Stadt;9,2
05766036;      Kalletal;6,9
05766040;      Lage, Stadt;9,6
05766044;      Lemgo, Stadt;8,1
05766048;      Leopoldshöhe;5,3
05766052;      Lügde, Stadt;6,7
05766056;      Oerlinghausen, Stadt;5,8
05766060;      Schieder-Schwalenberg, Stadt;6,9
05766064;      Schlangen;7,7
05770;    Minden-Lübbecke, Kreis;9,5
05770004;      Bad Oeynhausen, Stadt;10,2
05770008;      Espelkamp, Stadt;8,6
05770012;      Hille;4,9
05770016;      Hüllhorst;4,9
05770020;      Lübbecke, Stadt;7,8
05770024;      Minden, Stadt;15,0
05770028;      Petershagen, Stadt;7,8
05770032;      Porta Westfalica, Stadt;7,3
05770036;      Preußisch Oldendorf, Stadt;5,5
05770040;      Rahden, Stadt;6,9
05770044;      Stemwede;4,9
05774;    Paderborn, Kreis;8,2
05774004;      Altenbeken;7,0
05774008;      Bad Lippspringe, Stadt;10,4
05774012;      Borchen;6,0
05774016;      Büren, Stadt;7,2
05774020;      Delbrück, Stadt;5,9
05774024;      Hövelhof;5,5
05774028;      Lichtenau, Stadt;5,9
05774032;      Paderborn, Stadt;9,9
05774036;      Salzkotten, Stadt;5,5
05774040;      Bad Wünnenberg, Stadt;5,1
059;  Arnsberg, Regierungsbezirk;11,8
05911;    Bochum, krfr. Stadt;13,3
05913;    Dortmund, krfr. Stadt;17,6
05914;    Hagen, krfr. Stadt;16,6
05915;    Hamm, krfr. Stadt;11,5
05916;    Herne, krfr. Stadt;16,8
05954;    Ennepe-Ruhr-Kreis;10,9
05954004;      Breckerfeld, Stadt;7,0
05954008;      Ennepetal, Stadt;10,3
05954012;      Gevelsberg, Stadt;11,7
05954016;      Hattingen, Stadt;11,4
05954020;      Herdecke, Stadt;7,3
05954024;      Schwelm, Stadt;12,9
05954028;      Sprockhövel, Stadt;6,3
05954032;      Wetter (Ruhr), Stadt;9,4
05954036;      Witten, Stadt;12,9
05958;    Hochsauerlandkreis;7,1
05958004;      Arnsberg, Stadt;9,2
05958008;      Bestwig;7,0
05958012;      Brilon, Stadt;6,1
05958016;      Eslohe (Sauerland);5,6
05958020;      Hallenberg, Stadt;.
05958024;      Marsberg, Stadt;7,7
05958028;      Medebach, Stadt;.
05958032;      Meschede, Stadt;6,0
05958036;      Olsberg, Stadt;6,5
05958040;      Schmallenberg, Stadt;6,0
05958044;      Sundern (Sauerland), Stadt;6,3
05958048;      Winterberg, Stadt;5,7
05962;    Märkischer Kreis;10,0
05962004;      Altena, Stadt;11,4
05962008;      Balve, Stadt;5,6
05962012;      Halver, Stadt;7,3
05962016;      Hemer, Stadt;9,4
05962020;      Herscheid;5,2
05962024;      Iserlohn, Stadt;12,0
05962028;      Kierspe, Stadt;7,2
05962032;      Lüdenscheid, Stadt;12,2
05962036;      Meinerzhagen, Stadt;7,8
05962040;      Menden (Sauerland), Stadt;8,4
05962044;      Nachrodt-Wiblingwerde;8,2
05962048;      Neuenrade, Stadt;8,2
05962052;      Plettenberg, Stadt;8,7
05962056;      Schalksmühle;7,6
05962060;      Werdohl, Stadt;13,6
05966;    Olpe, Kreis;6,1
05966004;      Attendorn, Stadt;6,3
05966008;      Drolshagen, Stadt;5,7
05966012;      Finnentrop;6,1
05966016;      Kirchhundem;6,0
05966020;      Lennestadt, Stadt;6,8
05966024;      Olpe, Stadt;6,5
05966028;      Wenden;4,8
05970;    Siegen-Wittgenstein, Kreis;8,5
05970004;      Bad Berleburg, Stadt;6,6
05970008;      Burbach;5,4
05970012;      Erndtebrück;5,4
05970016;      Freudenberg, Stadt;5,2
05970020;      Hilchenbach, Stadt;8,1
05970024;      Kreuztal, Stadt;9,0
05970028;      Bad Laasphe, Stadt;7,0
05970032;      Netphen, Stadt;6,6
05970036;      Neunkirchen;7,6
05970040;      Siegen, Stadt;11,5
05970044;      Wilnsdorf;4,5
05974;    Soest, Kreis;8,3
05974004;      Anröchte;5,6
05974008;      Bad Sassendorf;6,2
05974012;      Ense;5,2
05974016;      Erwitte, Stadt;7,4
05974020;      Geseke, Stadt;6,4
05974024;      Lippetal;6,7
05974028;      Lippstadt, Stadt;9,2
05974032;      Möhnesee;7,8
05974036;      Rüthen, Stadt;6,9
05974040;      Soest, Stadt;9,8
05974044;      Warstein, Stadt;7,8
05974048;      Welver;5,7
05974052;      Werl, Stadt;10,2
05974056;      Wickede (Ruhr);10,3
05978;    Unna, Kreis;10,2
05978004;      Bergkamen, Stadt;12,3
05978008;      Bönen;10,2
05978012;      Fröndenberg / Ruhr, Stadt;6,5
05978016;      Holzwickede;7,0
05978020;      Kamen, Stadt;9,8
05978024;      Lünen, Stadt;14,0
05978028;      Schwerte, Stadt;9,1
05978032;      Selm, Stadt;9,5
05978036;      Unna, Stadt;9,0
05978040;      Werne, Stadt;6,1
05999998;      Wohnort außerhalb von NRW;x
__________
"zu ""Mindestsicherungsquote"":
 
Die Mindestsicherungsquote ist ein zusammengefasster
Indikator, der den prozentualen Anteil der Empfänger/-innen
von Mindestsicherungsleistungen an der Gesamtbevölkerung
darstellt.

2015-2019 Empfänger von Regelleistungen nach dem AsylbLG:
Landesebene -
In den Berichtsjahren 2015, 2017 und 2018 kam es aufgrund
einer Meldeproblematik zu einer Untererfassung und im
Berichtsjahr 2016 zu einer Übererfassung der Empfängerinnen
und Empfängern von Regelleistungen nach dem AsylbLG in
Landesaufnahmeeinrichtungen.
Unterhalb der Landesebene -
Nur Meldungen der örtlichen Träger; ohne Empfängerinnen und
Empfängern von Regelleistungen nach dem AsylbLG in
Landesaufnahmeeinrichtungen. 

2016:
Für sechs Kommunen sind die vorliegenden Bevölkerungszahlen
unplausibel. Damit ist die Genauigkeit der Ergebnisse der
übergeordneten Verwaltungsbezirke eingeschränkt. Die Gründe
hierfür liegen offenbar in der melderechtlichen Behandlung
von Schutzsuchenden. Die Unstimmigkeiten konnten nicht
abschließend aufgelöst werden.

NRW:
In die Berechnung der Mindestsicherungsquote für
Nordrhein-Westfalen gehen auch die Emfänger/-innen mit ein,
die Leistungen nach dem SGB XII oder Regelleistungen nach
dem AsylbLG von einem nordrhein-westfälischen Träger
erhalten, deren Hauptwohnsitz aber außerhalb
Nordrhein-Westfalens liegt.
----
 
Datenquellen:
Bundesagentur für Arbeit, Ergebnisse der Statistik der
Grundsicherung für Arbeitsuchende jeweils zum Berichtsmonat
Dezember. [Datenstand: März 2024]

IT NRW, Ergebnisse der Sozialhilfestatistik, der Statistik
der Grundsicherung im Alter und bei Erwerbsminderung, der
Asylbewerberleistungsstatistik sowie der Fortschreibung des
Bevölkerungsstandes auf Basis der VZ87 (bis 2010) bzw. des
Zensus 2011 (ab 2011) jeweils zum Stichtag 31.12.
----------"
© IT.NRW, Düsseldorf, 2026. Dieses Werk ist lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0.
Stand: 02.01.2026 / 11:11:45
