Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;    Mönchengladbach, krfr. Stadt;J;Information und Kommunikation;1754;9;59;327;1176;183;180;884;558;132
31.12.2024;    Mönchengladbach, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;4679;14;293;929;3320;123;295;3254;1026;104
31.12.2024;    Mönchengladbach, krfr. Stadt;L;Grundstücks- und Wohnungswesen;666;14;61;150;327;114;77;372;116;101
31.12.2024;    Mönchengladbach, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;15426;870;2596;3619;6131;2210;3918;7177;2276;2055
31.12.2024;    Mönchengladbach, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;30432;326;2790;8213;15106;3997;3908;17870;6507;2147
31.12.2024;    Mönchengladbach, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3506;124;566;927;1389;500;729;1778;538;461
31.12.2024;    Mönchengladbach, krfr. Stadt;;Insgesamt;107113;3582;16233;27728;43702;15868;19224;59190;17075;11624
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;101;6;12;25;27;31;22;39;11;29
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;B-F;Produzierendes Gewerbe;16475;263;3242;4710;6369;1891;2249;9881;3185;1160
31.12.2024;    Mülheim an der Ruhr, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;12390;148;2318;3440;5376;1108;1597;7300;2901;592
