Tabelle: 13111-54i
Sozialversicherungspflichtige Beschäftigte (Arbeitsort) nach;;;;;;;;;;;;;
Wirtschaftsabschnitte sowie Schul- und Berufsabschluss -;;;;;;;;;;;;;
kreisfreie Städte und Kreise - Stichtag (ab 2021);;;;;;;;;;;;;
Statistik der sozialversicherungspflichtig Beschäftigten;;;;;;;;;;;;;
Sozialversicherungspfl. Beschäftigte (Arbeitsort) (Anzahl);;;;;;;;;;;;;
;;;;Insgesamt;ohne Schulabschluss;mit Volks-/Haupschulabschluss;mit mittlerer Reife/gleichwertigem Abschluss;mit Abitur/Fachabitur;Abschluss unbekannt;ohne beruflichen Ausbildungsabschluss;mit anerkanntem Berufsabschluss;mit akademischem Abschluss;Ausbildung unbekannt
31.12.2024;    Rhein-Erft-Kreis;L;Grundstücks- und Wohnungswesen;1155;13;131;282;548;181;144;662;186;163
31.12.2024;    Rhein-Erft-Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;21213;789;3456;4800;8894;3274;3821;10504;4048;2840
31.12.2024;    Rhein-Erft-Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;35883;310;4127;11122;16716;3608;4612;21044;7827;2400
31.12.2024;    Rhein-Erft-Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;4845;109;738;1183;1759;1056;936;2385;682;842
31.12.2024;    Rhein-Erft-Kreis;;Insgesamt;151218;3617;26476;42840;55733;22552;24648;86154;22896;17520
31.12.2024;    Euskirchen, Kreis;A;Land- und Forstwirtschaft, Fischerei;520;19;97;136;111;157;97;242;34;147
31.12.2024;    Euskirchen, Kreis;B-F;Produzierendes Gewerbe;14974;322;3893;4982;3611;2166;2450;10296;1141;1087
31.12.2024;    Euskirchen, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;10595;185;2549;3489;2872;1500;1612;7383;995;605
31.12.2024;    Euskirchen, Kreis;C;Verarbeitendes Gewerbe;9606;153;2362;3135;2498;1458;1464;6703;872;567
31.12.2024;    Euskirchen, Kreis;F;Baugewerbe;4379;137;1344;1493;739;666;838;2913;146;482
31.12.2024;    Euskirchen, Kreis;G-T;Dienstleistungsbereich;43747;1047;7024;13752;15067;6857;6661;27357;5249;4480
31.12.2024;    Euskirchen, Kreis;G-I;Handel, Gastgewerbe, Verkehr;15446;499;3321;4710;3430;3486;2810;9856;858;1922
31.12.2024;    Euskirchen, Kreis;J;Information und Kommunikation;514;6;26;137;311;34;69;309;101;35
31.12.2024;    Euskirchen, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1280;3;52;254;925;46;104;992;160;24
31.12.2024;    Euskirchen, Kreis;L;Grundstücks- und Wohnungswesen;405;4;60;124;162;55;47;243;59;56
31.12.2024;    Euskirchen, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;5095;341;928;1227;1786;813;1241;2454;629;771
31.12.2024;    Euskirchen, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;19179;161;2299;6732;7778;2209;2085;12406;3179;1509
31.12.2024;    Euskirchen, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;1828;33;338;568;675;214;305;1097;263;163
31.12.2024;    Euskirchen, Kreis;;Insgesamt;59241;1388;11014;18870;18789;9180;9208;37895;6424;5714
31.12.2024;    Heinsberg, Kreis;A;Land- und Forstwirtschaft, Fischerei;550;26;96;152;118;158;110;275;27;138
31.12.2024;    Heinsberg, Kreis;B-F;Produzierendes Gewerbe;21843;553;5230;7366;5992;2702;3825;14167;1982;1869
31.12.2024;    Heinsberg, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;15165;373;3429;5026;4720;1617;2577;9889;1665;1034
31.12.2024;    Heinsberg, Kreis;C;Verarbeitendes Gewerbe;14077;350;3135;4643;4422;1527;2421;9118;1570;968
31.12.2024;    Heinsberg, Kreis;F;Baugewerbe;6678;180;1801;2340;1272;1085;1248;4278;317;835
31.12.2024;    Heinsberg, Kreis;G-T;Dienstleistungsbereich;57442;2365;8874;17831;20728;7644;10089;34916;6741;5696
31.12.2024;    Heinsberg, Kreis;G-I;Handel, Gastgewerbe, Verkehr;19008;508;3864;5893;4578;4165;3607;11065;1047;3289
31.12.2024;    Heinsberg, Kreis;J;Information und Kommunikation;1021;4;37;160;708;112;128;579;235;79
31.12.2024;    Heinsberg, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1481;4;30;253;1114;80;89;1164;195;33
31.12.2024;    Heinsberg, Kreis;L;Grundstücks- und Wohnungswesen;479;10;64;126;201;78;57;296;59;67
31.12.2024;    Heinsberg, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;8768;315;1451;2476;3093;1433;1505;4925;1052;1286
31.12.2024;    Heinsberg, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;24354;1449;2991;8139;10311;1464;4277;15469;3964;644
31.12.2024;    Heinsberg, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2331;75;437;784;723;312;426;1418;189;298
31.12.2024;    Heinsberg, Kreis;;Insgesamt;79835;2944;14200;25349;26838;10504;14024;49358;8750;7703
31.12.2024;    Oberbergischer Kreis;A;Land- und Forstwirtschaft, Fischerei;495;18;131;132;99;115;116;250;30;99
31.12.2024;    Oberbergischer Kreis;B-F;Produzierendes Gewerbe;40711;869;9598;13826;11818;4600;6856;26943;4314;2598
31.12.2024;    Oberbergischer Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;35475;699;8172;12056;10964;3584;5787;23715;4124;1849
31.12.2024;    Oberbergischer Kreis;C;Verarbeitendes Gewerbe;33831;685;7791;11452;10407;3496;5624;22458;3939;1810
31.12.2024;    Oberbergischer Kreis;F;Baugewerbe;5236;170;1426;1770;854;1016;1069;3228;190;749
31.12.2024;    Oberbergischer Kreis;G-T;Dienstleistungsbereich;66075;1603;8871;21158;27663;6780;9605;39924;12059;4487
31.12.2024;    Oberbergischer Kreis;G-I;Handel, Gastgewerbe, Verkehr;19150;422;3957;6736;5087;2948;3461;12208;1293;2188
31.12.2024;    Oberbergischer Kreis;J;Information und Kommunikation;784;.;.;207;498;47;118;405;221;40
31.12.2024;    Oberbergischer Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1686;.;.;321;1222;99;149;1328;159;50
31.12.2024;    Oberbergischer Kreis;L;Grundstücks- und Wohnungswesen;463;7;81;140;176;59;50;299;59;55
31.12.2024;    Oberbergischer Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;15845;408;1701;3555;8855;1326;2006;7665;5162;1012
31.12.2024;    Oberbergischer Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;25540;722;2691;9437;10715;1975;3471;16510;4638;921
31.12.2024;    Oberbergischer Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2607;39;370;762;1110;326;350;1509;527;221
31.12.2024;    Oberbergischer Kreis;;Insgesamt;107281;2490;18600;35116;39580;11495;16577;67117;16403;7184
31.12.2024;    Rheinisch-Bergischer Kreis;A;Land- und Forstwirtschaft, Fischerei;323;15;58;104;79;67;59;176;29;59
31.12.2024;    Rheinisch-Bergischer Kreis;B-F;Produzierendes Gewerbe;18501;462;4380;5325;5724;2610;3012;11631;2365;1493
31.12.2024;    Rheinisch-Bergischer Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;13522;317;3194;3707;4721;1583;2102;8575;2132;713
31.12.2024;    Rheinisch-Bergischer Kreis;C;Verarbeitendes Gewerbe;12705;292;2990;3419;4526;1478;1957;8012;2074;662
31.12.2024;    Rheinisch-Bergischer Kreis;F;Baugewerbe;4979;145;1186;1618;1003;1027;910;3056;233;780
31.12.2024;    Rheinisch-Bergischer Kreis;G-T;Dienstleistungsbereich;58185;1363;6632;15269;27567;7354;8496;32567;12017;5105
31.12.2024;    Rheinisch-Bergischer Kreis;G-I;Handel, Gastgewerbe, Verkehr;16644;498;2807;5051;5402;2886;3096;9709;1644;2195
31.12.2024;    Rheinisch-Bergischer Kreis;J;Information und Kommunikation;1705;15;46;255;1217;172;207;737;611;150
31.12.2024;    Rheinisch-Bergischer Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1586;4;28;290;1178;86;127;1121;272;66
31.12.2024;    Rheinisch-Bergischer Kreis;L;Grundstücks- und Wohnungswesen;603;7;64;144;303;85;73;365;94;71
31.12.2024;    Rheinisch-Bergischer Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;10748;254;992;1924;6360;1218;1401;4793;3517;1037
31.12.2024;    Rheinisch-Bergischer Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;23358;515;2246;6631;11543;2423;2963;13841;5319;1235
31.12.2024;    Rheinisch-Bergischer Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3541;70;449;974;1564;484;629;2001;560;351
31.12.2024;    Rheinisch-Bergischer Kreis;;Insgesamt;77010;1840;11070;20698;33370;10032;11567;44374;14411;6658
31.12.2024;    Rhein-Sieg-Kreis;A;Land- und Forstwirtschaft, Fischerei;1165;58;206;257;268;376;249;472;72;372
31.12.2024;    Rhein-Sieg-Kreis;B-F;Produzierendes Gewerbe;43125;986;10157;13768;11932;6282;7142;27151;4499;4333
31.12.2024;    Rhein-Sieg-Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;30064;519;6621;9666;9600;3658;4475;19293;3957;2339
31.12.2024;    Rhein-Sieg-Kreis;C;Verarbeitendes Gewerbe;27808;483;6219;8911;8777;3418;4193;17751;3625;2239
31.12.2024;    Rhein-Sieg-Kreis;F;Baugewerbe;13061;467;3536;4102;2332;2624;2667;7858;542;1994
31.12.2024;    Rhein-Sieg-Kreis;G-T;Dienstleistungsbereich;129649;3638;17741;36886;54710;16674;20453;72283;23854;13059
31.12.2024;    Rhein-Sieg-Kreis;G-I;Handel, Gastgewerbe, Verkehr;42440;1283;8268;13328;12073;7488;8355;24494;3368;6223
31.12.2024;    Rhein-Sieg-Kreis;J;Information und Kommunikation;3922;.;.;665;2884;255;344;1741;1613;224
31.12.2024;    Rhein-Sieg-Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;3257;.;.;806;2203;153;297;2499;356;105
31.12.2024;    Rhein-Sieg-Kreis;L;Grundstücks- und Wohnungswesen;1365;12;140;365;680;168;166;859;201;139
31.12.2024;    Rhein-Sieg-Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;20679;654;2772;5068;9542;2643;3449;10136;4750;2344
31.12.2024;    Rhein-Sieg-Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;51410;1560;5483;14961;24451;4955;6889;29039;12226;3256
31.12.2024;    Rhein-Sieg-Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;6576;109;885;1693;2877;1012;953;3515;1340;768
31.12.2024;    Rhein-Sieg-Kreis;;Insgesamt;173939;4682;28104;50911;66910;23332;27844;99906;28425;17764
31.12.2024;  Münster, Regierungsbezirk;A;Land- und Forstwirtschaft, Fischerei;7924;416;1539;2347;1796;1826;1576;4384;570;1394
31.12.2024;  Münster, Regierungsbezirk;B-F;Produzierendes Gewerbe;269411;5892;61421;83226;73896;44976;36278;181184;26600;25349
31.12.2024;  Münster, Regierungsbezirk;B-E;Produzierendes Gewerbe ohne Baugewerbe;200607;3738;42682;62008;61392;30787;25178;137058;23246;15125
31.12.2024;  Münster, Regierungsbezirk;C;Verarbeitendes Gewerbe;183116;3545;39469;55806;55150;29146;23231;125006;20783;14096
31.12.2024;  Münster, Regierungsbezirk;F;Baugewerbe;68804;2154;18739;21218;12504;14189;11100;44126;3354;10224
31.12.2024;  Münster, Regierungsbezirk;G-T;Dienstleistungsbereich;735218;23097;99440;195295;312332;105054;114549;430788;122325;67556
31.12.2024;  Münster, Regierungsbezirk;G-I;Handel, Gastgewerbe, Verkehr;225183;7640;46244;67035;61030;43234;41181;135181;15561;33260
31.12.2024;  Münster, Regierungsbezirk;J;Information und Kommunikation;26239;95;793;3909;19240;2202;2793;11912;9691;1843
31.12.2024;  Münster, Regierungsbezirk;K;Erbringung von Finanz- und Versicherungsdienstleistungen;27885;56;742;5197;20626;1264;2140;19528;5392;825
31.12.2024;  Münster, Regierungsbezirk;L;Grundstücks- und Wohnungswesen;6709;72;852;1770;3110;905;620;4485;1005;599
31.12.2024;  Münster, Regierungsbezirk;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;116500;5198;17719;25227;49534;18822;21664;57742;21531;15563
31.12.2024;  Münster, Regierungsbezirk;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;297553;9389;27915;83422;143875;32952;41209;181920;62517;11907
31.12.2024;  Münster, Regierungsbezirk;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;35149;647;5175;8735;14917;5675;4942;20020;6628;3559
31.12.2024;  Münster, Regierungsbezirk;;Insgesamt;1012553;29405;162400;280868;388024;151856;152403;616356;149495;94299
31.12.2024;    Bottrop, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;139;4;30;26;32;47;39;52;10;38
31.12.2024;    Bottrop, krfr. Stadt;B-F;Produzierendes Gewerbe;6803;137;1755;2021;1878;1012;961;4568;586;688
31.12.2024;    Bottrop, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;4229;49;1044;1239;1461;436;465;3049;481;234
31.12.2024;    Bottrop, krfr. Stadt;C;Verarbeitendes Gewerbe;3516;44;848;1002;1224;398;401;2488;411;216
31.12.2024;    Bottrop, krfr. Stadt;F;Baugewerbe;2574;88;711;782;417;576;496;1519;105;454
31.12.2024;    Bottrop, krfr. Stadt;G-T;Dienstleistungsbereich;26958;1258;4245;7566;9453;4436;5142;15800;3044;2972
31.12.2024;    Bottrop, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;8054;347;1806;2046;1722;2133;1728;4397;311;1618
31.12.2024;    Bottrop, krfr. Stadt;J;Information und Kommunikation;249;.;.;64;147;28;48;141;51;9
31.12.2024;    Bottrop, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;481;.;.;88;326;47;32;382;39;28
31.12.2024;    Bottrop, krfr. Stadt;L;Grundstücks- und Wohnungswesen;222;4;28;64;92;34;24;153;18;27
31.12.2024;    Bottrop, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;3988;319;708;926;1315;720;919;2045;500;524
31.12.2024;    Bottrop, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;11921;541;1211;3875;5148;1146;2007;7455;1942;517
31.12.2024;    Bottrop, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2043;43;466;503;703;328;384;1227;183;249
31.12.2024;    Bottrop, krfr. Stadt;;Insgesamt;33900;1399;6030;9613;11363;5495;6142;20420;3640;3698
31.12.2024;    Gelsenkirchen, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;62;3;15;16;16;12;12;37;4;9
31.12.2024;    Gelsenkirchen, krfr. Stadt;B-F;Produzierendes Gewerbe;17768;428;3056;4804;5146;4334;2531;11590;1873;1774
31.12.2024;    Gelsenkirchen, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;11456;173;1597;2818;3954;2914;1381;7727;1572;776
31.12.2024;    Gelsenkirchen, krfr. Stadt;C;Verarbeitendes Gewerbe;9233;163;1437;2237;2743;2653;1190;6284;1035;724
31.12.2024;    Gelsenkirchen, krfr. Stadt;F;Baugewerbe;6312;255;1459;1986;1192;1420;1150;3863;301;998
31.12.2024;    Gelsenkirchen, krfr. Stadt;G-T;Dienstleistungsbereich;67686;2971;10635;17277;25363;11440;12521;37880;9384;7901
31.12.2024;    Gelsenkirchen, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;18801;857;4111;4889;4296;4648;3952;10197;1022;3630
31.12.2024;    Gelsenkirchen, krfr. Stadt;J;Information und Kommunikation;1001;6;58;149;661;127;153;439;278;131
31.12.2024;    Gelsenkirchen, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1435;3;59;280;1019;74;122;1065;191;57
31.12.2024;    Gelsenkirchen, krfr. Stadt;L;Grundstücks- und Wohnungswesen;1025;8;186;291;416;124;117;718;91;99
31.12.2024;    Gelsenkirchen, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;14996;641;3041;3141;5345;2828;3097;7532;2081;2286
31.12.2024;    Gelsenkirchen, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;27002;1347;2644;7734;12368;2909;4484;16200;5233;1085
31.12.2024;    Gelsenkirchen, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3426;109;536;793;1258;730;596;1729;488;613
31.12.2024;    Gelsenkirchen, krfr. Stadt;;Insgesamt;85516;3402;13706;22097;30525;15786;15064;49507;11261;9684
31.12.2024;    Münster, krfr. Stadt;A;Land- und Forstwirtschaft, Fischerei;661;14;108;220;216;103;106;386;88;81
31.12.2024;    Münster, krfr. Stadt;B-F;Produzierendes Gewerbe;22859;333;3427;6873;9237;2989;2914;14520;4141;1284
31.12.2024;    Münster, krfr. Stadt;B-E;Produzierendes Gewerbe ohne Baugewerbe;16633;155;1928;5002;7639;1909;1946;10485;3615;587
31.12.2024;    Münster, krfr. Stadt;C;Verarbeitendes Gewerbe;13443;126;1603;3899;6167;1648;1501;8584;2894;464
31.12.2024;    Münster, krfr. Stadt;F;Baugewerbe;6226;178;1499;1871;1598;1080;968;4035;526;697
31.12.2024;    Münster, krfr. Stadt;G-T;Dienstleistungsbereich;172400;3454;12855;33102;102437;20552;24109;85766;49719;12806
31.12.2024;    Münster, krfr. Stadt;G-I;Handel, Gastgewerbe, Verkehr;35520;1085;5126;8662;13409;7238;7500;17894;4311;5815
31.12.2024;    Münster, krfr. Stadt;J;Information und Kommunikation;14199;27;252;1636;11181;1103;1400;5817;6112;870
31.12.2024;    Münster, krfr. Stadt;K;Erbringung von Finanz- und Versicherungsdienstleistungen;13273;17;311;2159;10274;512;1034;8399;3490;350
31.12.2024;    Münster, krfr. Stadt;L;Grundstücks- und Wohnungswesen;1098;8;118;243;639;90;103;702;233;60
31.12.2024;    Münster, krfr. Stadt;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;29054;995;2796;4845;16123;4295;4642;11911;8838;3663
31.12.2024;    Münster, krfr. Stadt;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;68088;1210;3423;13430;44152;5873;8284;35219;23205;1380
31.12.2024;    Münster, krfr. Stadt;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;11168;112;829;2127;6659;1441;1146;5824;3530;668
31.12.2024;    Münster, krfr. Stadt;;Insgesamt;195920;3801;16390;40195;111890;23644;27129;100672;53948;14171
31.12.2024;    Borken, Kreis;A;Land- und Forstwirtschaft, Fischerei;1915;176;393;598;327;421;424;1076;108;307
31.12.2024;    Borken, Kreis;B-F;Produzierendes Gewerbe;61770;1489;17299;20659;14756;7567;7940;44714;4716;4400
31.12.2024;    Borken, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;45654;1114;12432;15379;11692;5037;5739;33235;3818;2862
31.12.2024;    Borken, Kreis;C;Verarbeitendes Gewerbe;43148;1076;11817;14423;11078;4754;5515;31416;3601;2616
31.12.2024;    Borken, Kreis;F;Baugewerbe;16116;375;4867;5280;3064;2530;2201;11479;898;1538
31.12.2024;    Borken, Kreis;G-T;Dienstleistungsbereich;96788;3923;15517;29528;34716;13104;14219;63669;11271;7629
31.12.2024;    Borken, Kreis;G-I;Handel, Gastgewerbe, Verkehr;34314;821;7966;11305;8288;5934;4961;23394;1708;4251
31.12.2024;    Borken, Kreis;J;Information und Kommunikation;4019;18;139;667;2936;259;450;1901;1421;247
31.12.2024;    Borken, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;3173;6;99;832;2093;143;206;2429;444;94
31.12.2024;    Borken, Kreis;L;Grundstücks- und Wohnungswesen;834;12;96;237;381;108;82;513;158;81
31.12.2024;    Borken, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;14063;834;2513;3703;5327;1686;2721;8200;1824;1318
31.12.2024;    Borken, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;36930;2145;4046;11742;14604;4393;5248;24996;5370;1316
31.12.2024;    Borken, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;3455;87;658;1042;1087;581;551;2236;346;322
31.12.2024;    Borken, Kreis;;Insgesamt;160473;5588;33209;50785;49799;21092;22583;109459;16095;12336
31.12.2024;    Coesfeld, Kreis;A;Land- und Forstwirtschaft, Fischerei;1418;45;308;440;354;271;228;841;127;222
31.12.2024;    Coesfeld, Kreis;B-F;Produzierendes Gewerbe;22451;453;5505;7174;5471;3848;2907;15378;1584;2582
31.12.2024;    Coesfeld, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;17538;310;4109;5508;4723;2888;2184;12013;1408;1933
31.12.2024;    Coesfeld, Kreis;C;Verarbeitendes Gewerbe;16717;289;3865;5231;4509;2823;2084;11420;1339;1874
31.12.2024;    Coesfeld, Kreis;F;Baugewerbe;4913;143;1396;1666;748;960;723;3365;176;649
31.12.2024;    Coesfeld, Kreis;G-T;Dienstleistungsbereich;53366;1274;7795;16385;20038;7874;7198;34621;6749;4798
31.12.2024;    Coesfeld, Kreis;G-I;Handel, Gastgewerbe, Verkehr;18338;415;3745;6142;4771;3265;2489;12264;1254;2331
31.12.2024;    Coesfeld, Kreis;J;Information und Kommunikation;768;.;.;181;446;91;83;417;186;82
31.12.2024;    Coesfeld, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;1713;.;.;296;1322;54;188;1218;264;43
31.12.2024;    Coesfeld, Kreis;L;Grundstücks- und Wohnungswesen;684;3;43;140;362;136;65;453;123;43
31.12.2024;    Coesfeld, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;7585;181;900;1892;3152;1460;982;4224;1111;1268
31.12.2024;    Coesfeld, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;21989;636;2559;6950;9268;2576;3121;14475;3523;870
31.12.2024;    Coesfeld, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;2289;30;466;784;717;292;270;1570;288;161
31.12.2024;    Coesfeld, Kreis;;Insgesamt;77235;1772;13608;23999;25863;11993;10333;50840;8460;7602
31.12.2024;    Recklinghausen, Kreis;A;Land- und Forstwirtschaft, Fischerei;706;21;122;169;153;241;134;360;39;173
31.12.2024;    Recklinghausen, Kreis;B-F;Produzierendes Gewerbe;45677;1067;8774;11828;11203;12805;6542;28380;3696;7059
31.12.2024;    Recklinghausen, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;32329;559;5339;8076;9050;9305;3896;20836;3252;4345
31.12.2024;    Recklinghausen, Kreis;C;Verarbeitendes Gewerbe;27436;494;4317;6217;7622;8786;3188;17495;2778;3975
31.12.2024;    Recklinghausen, Kreis;F;Baugewerbe;13348;508;3435;3752;2153;3500;2646;7544;444;2714
31.12.2024;    Recklinghausen, Kreis;G-T;Dienstleistungsbereich;138043;3446;20727;37747;51928;24195;22254;82121;17693;15975
31.12.2024;    Recklinghausen, Kreis;G-I;Handel, Gastgewerbe, Verkehr;41433;1349;9050;12078;9971;8985;8187;24541;1899;6806
31.12.2024;    Recklinghausen, Kreis;J;Information und Kommunikation;2618;14;125;507;1690;282;268;1368;757;225
31.12.2024;    Recklinghausen, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2962;7;96;569;2124;166;209;2360;278;115
31.12.2024;    Recklinghausen, Kreis;L;Grundstücks- und Wohnungswesen;1183;20;144;282;530;207;94;783;173;133
31.12.2024;    Recklinghausen, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;21967;1053;3861;4706;7813;4534;4506;10838;2875;3748
31.12.2024;    Recklinghausen, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;62177;867;6424;18178;27896;8812;8080;39090;10926;4081
31.12.2024;    Recklinghausen, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;5703;136;1027;1427;1904;1209;910;3141;785;867
31.12.2024;    Recklinghausen, Kreis;;Insgesamt;184426;4534;29623;49744;63284;37241;28930;110861;21428;23207
31.12.2024;    Steinfurt, Kreis;A;Land- und Forstwirtschaft, Fischerei;1484;45;301;484;353;301;254;882;107;241
31.12.2024;    Steinfurt, Kreis;B-F;Produzierendes Gewerbe;54039;1187;12932;18213;14625;7082;7579;36334;5476;4650
31.12.2024;    Steinfurt, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;40257;764;9345;14001;12214;3933;5570;27791;4779;2117
31.12.2024;    Steinfurt, Kreis;C;Verarbeitendes Gewerbe;38059;748;8877;13165;11486;3783;5423;26126;4522;1988
31.12.2024;    Steinfurt, Kreis;F;Baugewerbe;13782;423;3587;4212;2411;3149;2009;8543;697;2533
31.12.2024;    Steinfurt, Kreis;G-T;Dienstleistungsbereich;116820;3776;17179;35895;44837;15133;17825;72443;16181;10371
31.12.2024;    Steinfurt, Kreis;G-I;Handel, Gastgewerbe, Verkehr;46954;1364;9447;15482;13082;7579;7658;29418;3595;6283
31.12.2024;    Steinfurt, Kreis;J;Information und Kommunikation;2403;17;80;473;1610;223;262;1274;676;191
31.12.2024;    Steinfurt, Kreis;K;Erbringung von Finanz- und Versicherungsdienstleistungen;2994;9;80;612;2138;155;208;2286;429;71
31.12.2024;    Steinfurt, Kreis;L;Grundstücks- und Wohnungswesen;1285;12;199;416;523;135;106;904;165;110
31.12.2024;    Steinfurt, Kreis;M-N;Freiberufl,wissenschaftl. techn. Dienstl.,sonst.DL;15292;580;2182;3881;6800;1849;2687;8090;2879;1636
31.12.2024;    Steinfurt, Kreis;O-Q;Öff. Verw.,Verteidig.,Erz. und Unterricht,Gesundheits- und Sozialwesen;43296;1704;4461;13665;18957;4509;6174;27735;7731;1656
31.12.2024;    Steinfurt, Kreis;R-T;Kunst, Unterhaltung, Erholung, Priv. Haush.,usw.;4596;90;730;1366;1727;683;730;2736;706;424
31.12.2024;    Steinfurt, Kreis;;Insgesamt;172343;5008;30412;54592;59815;22516;25658;109659;21764;15262
31.12.2024;    Warendorf, Kreis;A;Land- und Forstwirtschaft, Fischerei;1539;108;262;394;345;430;379;750;87;323
31.12.2024;    Warendorf, Kreis;B-F;Produzierendes Gewerbe;38044;798;8673;11654;11580;5339;4904;25700;4528;2912
31.12.2024;    Warendorf, Kreis;B-E;Produzierendes Gewerbe ohne Baugewerbe;32511;614;6888;9985;10659;4365;3997;21922;4321;2271
31.12.2024;    Warendorf, Kreis;C;Verarbeitendes Gewerbe;31564;605;6705;9632;10321;4301;3929;21193;4203;2239
31.12.2024;    Warendorf, Kreis;F;Baugewerbe;5533;184;1785;1669;921;974;907;3778;207;641
