Tabelle: 22161-08i
Empfänger/-innen von Eingliederungshilfe nach Alter (6),;;;;;;;;;;
Leistungsart (5) und Träger (2) - Region - Stichtag;;;;;;;;;;
(Trägerprinzip);;;;;;;;;;
Statistik der Empfänger/-innen von Eingliederungshilfe nach dem SGB IX;;;;;;;;;;
;;;;Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip);Empfänger/-innen (Trägerprinzip)
;;;;Insgesamt;unter 7 Jahre;7 bis unter 18 Jahre;18 bis unter 25 Jahre;25 bis unter 50 Jahre;50 bis unter 65 Jahre;65 Jahre und mehr
;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2023;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Sonstige Leistungen der Eingliederungshilfe;15;5;10;0;-;-;0
31.12.2023;Rheinland;Kreise und kreisfreie Städte (inkl. Delegation);Insgesamt;8585;395;6275;375;435;515;590
31.12.2023;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur medizinischen Rehabilitation;8765;8575;65;35;85;5;-
31.12.2023;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe am Arbeitsleben;32540;-;0;2995;19385;9855;305
31.12.2023;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Teilhabe an Bildung;345;-;120;190;35;-;-
31.12.2023;Rheinland;Landschaftsverband (ohne Delegation);Leistungen zur Sozialen Teilhabe;77615;16120;485;3135;28385;22065;7425
31.12.2023;Rheinland;Landschaftsverband (ohne Delegation);Sonstige Leistungen der Eingliederungshilfe;780;25;475;155;45;40;35
31.12.2023;Rheinland;Landschaftsverband (ohne Delegation);Insgesamt;98905;20375;1120;5705;38215;25915;7570
31.12.2023;Rheinland;Insgesamt;Leistungen zur medizinischen Rehabilitation;8850;8580;120;40;90;5;15
31.12.2023;Rheinland;Insgesamt;Leistungen zur Teilhabe am Arbeitsleben;32585;-;5;3000;19410;9870;305
