;;;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe;Art der Hilfe
;;;Insgesamt;Insgesamt;Hilfe zur Erziehung § 27 SGB VIII;Hilfe zur Erziehung § 27 SGB VIII;Erziehungsberatung § 28 SGB VIII;Erziehungsberatung § 28 SGB VIII;Soziale Gruppenarbeit § 29 SGB VIII;Soziale Gruppenarbeit § 29 SGB VIII;Einzelbetreuung § 30 SGB VIII;Einzelbetreuung § 30 SGB VIII;Sozialpädagogische Familienhilfe § 31 SGB VIII;Sozialpädagogische Familienhilfe § 31 SGB VIII;Erziehung in einer Tagesgruppe § 32 SGB VIII;Erziehung in einer Tagesgruppe § 32 SGB VIII;Vollzeitpflege § 33 SGB VIII;Vollzeitpflege § 33 SGB VIII;Heimerziehung, sonstige betreute Wohnform § 34 SGB VII;Heimerziehung, sonstige betreute Wohnform § 34 SGB VII;Intensive sozialpädagogische Einzelbetreuung § 35 SGB VIII;Intensive sozialpädagogische Einzelbetreuung § 35 SGB VIII;Eingliederungshilfe für seelisch behinderte junge Menschen § 35a SGB VIII;Eingliederungshilfe für seelisch behinderte junge Menschen § 35a SGB VIII
;;;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen;In Anspruch genommene erzieh. Hilfen;Begonnene erzieher. Hilfen/Beratungen
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2024;JH05166999;      Kreisjugendamt des Kreises Viersen;1118;413;72;26;-;-;27;-;12;9;218;107;-;-;218;35;99;39;123;61;349;136
2024;05170;    Wesel, Kreis;9655;4496;1063;419;3580;2349;107;49;677;287;734;318;103;42;1044;212;930;344;59;36;1358;440
2024;JH05170008;      Jugendamt Dinslaken;1043;385;195;83;-;-;37;22;156;67;128;59;42;15;156;27;167;70;6;3;156;39
2024;JH05170020;      Jugendamt Kamp-Lintfort;558;208;219;93;-;-;21;9;42;20;2;1;2;-;109;20;67;29;2;1;94;35
2024;JH05170024;      Jugendamt Moers;1552;583;171;61;208;123;12;4;193;77;225;90;25;11;141;37;232;76;2;1;343;103
2024;JH05170032;      Jugendamt Rheinberg;856;412;57;31;495;270;8;2;30;7;70;39;8;5;57;11;63;28;-;-;68;19
2024;JH05170044;      Jugendamt Voerde;504;162;49;15;-;-;9;2;51;14;61;29;13;8;98;16;63;29;13;4;147;45
2024;JH05170048;      Jugendamt Wesel;1675;840;93;35;879;577;14;5;71;37;130;40;8;1;134;32;152;32;4;1;190;80
2024;JH05170999;      Kreisjugendamt des Kreises Wesel;3467;1906;279;101;1998;1379;6;5;134;65;118;60;5;2;349;69;186;80;32;26;360;119
2024;053;  Köln, Regierungsbezirk;78300;36705;3937;1763;31757;21242;924;375;3229;1545;8678;3461;1060;350;5626;797;7174;2301;1034;502;14881;4369
2024;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2024;05314;    Bonn, krfr. Stadt;4626;2310;114;47;2258;1612;87;36;287;143;348;138;149;46;201;22;442;136;15;5;725;125
2024;05315;    Köln, krfr. Stadt;17855;7906;1830;803;6575;4599;364;132;138;56;1870;660;181;56;885;89;1549;438;287;126;4176;947
2024;05316;    Leverkusen, krfr. Stadt;2894;1316;149;90;1031;644;3;2;101;53;399;175;25;11;156;36;279;89;95;39;656;177
2024;05334;    Städteregion Aachen (einschl. Stadt Aachen);12171;6099;198;86;4727;3191;236;92;802;423;1673;761;75;33;1045;191;1103;413;103;61;2209;848
2024;JH05334002;      Jugendamt Aachen;5554;3117;31;18;2505;1709;108;49;371;197;730;342;51;23;224;56;528;228;55;36;951;459
2024;JH05334004;      Jugendamt Alsdorf;1348;568;19;6;584;355;19;4;89;35;188;69;4;2;161;26;122;31;2;2;160;38
2024;JH05334012;      Jugendamt Eschweiler;755;233;9;-;-;-;9;4;70;42;170;63;6;3;149;20;100;33;14;7;228;61
2024;JH05334016;      Jugendamt Herzogenrath;626;300;8;4;-;-;34;11;79;47;157;88;5;2;104;27;51;28;5;5;183;88
