Tabelle: 12411-15i
Katasterfläche (qkm), Bevölkerung und Bevölkerungsdichte - Stichtag - Gemeinden;;;;;
;;;Fortschreibung des Bevölkerungsstandes;Flächenerhebung nach Art der tatsächlichen Nutzung;Fortschreibung des Bevölkerungsstandes
;;;Bevölkerungsstand (Basis Zensus 2022 und früher);Bodenfläche (Katasterfläche) in qkm;Bevölkerungsdichte
;;;Anzahl;qkm;EW pro qkm
31.12.2024;05974020;      Geseke, Stadt;20930;97,89;213,8
31.12.2024;05974024;      Lippetal;11883;126,61;93,9
31.12.2024;05974028;      Lippstadt, Stadt;68739;113,68;604,7
31.12.2024;05974032;      Möhnesee;11274;123,49;91,3
31.12.2024;05974036;      Rüthen, Stadt;10290;158,15;65,1
31.12.2024;05974040;      Soest, Stadt;47776;85,81;556,8
31.12.2024;05974044;      Warstein, Stadt;24988;158,05;158,1
31.12.2024;05974048;      Welver;11999;85,62;140,1
31.12.2024;05974052;      Werl, Stadt;29600;76,35;387,7
31.12.2024;05974056;      Wickede (Ruhr);11637;25,24;461,1
31.12.2024;05978;    Unna, Kreis;393784;543,21;724,9
31.12.2024;05978004;      Bergkamen, Stadt;49143;44,90;1094,5
31.12.2024;05978008;      Bönen;17734;38,04;466,2
31.12.2024;05978012;      Fröndenberg / Ruhr, Stadt;20504;56,23;364,6
31.12.2024;05978016;      Holzwickede;17596;22,36;786,9
31.12.2024;05978020;      Kamen, Stadt;42319;40,95;1033,4
31.12.2024;05978024;      Lünen, Stadt;86163;59,39;1450,8
31.12.2024;05978028;      Schwerte, Stadt;45821;56,23;814,9
31.12.2024;05978032;      Selm, Stadt;25969;60,41;429,9
31.12.2024;05978036;      Unna, Stadt;58333;88,56;658,7
31.12.2024;05978040;      Werne, Stadt;30202;76,14;396,7
__________
"Die Ergebnisse der Wanderungsstatistik und als Folge die
Entwicklung des Bevölkerungsstandes ab Berichtsjahr 2016
sind aufgrund methodischer Änderungen, technischer Weiter-
entwicklungen der Datenlieferungen aus dem Meldewesen an
die Statistik sowie der Umstellung auf ein neues
statistisches Aufbereitungsverfahren nur bedingt mit den
Vorjahreswerten vergleichbar.  Einschränkungen in der
Genauigkeit der Er- gebnisse 2016 und der unterjährigen
Ergebnisse 2017 können zum einen aus Problemen bei der
melderechtlichen Erfassung von Schutzsuchenden resultieren,
zum anderen aus Folgepro- blemen der technischen
Umstellungen der Datenlieferungen aus dem Meldewesen und
aus in der statistischen Aufbereitung festgestellten
Unstimmigkeiten resultieren. Diese Probleme sind in den
Jahresendergebnissen 2017 weitgehend bereinigt.

Für den Stichtag 31.12.2016:
Für sechs Kommunen ist das vorliegende Ergebnis, das u. a.
auf Basis der von den Meldebehörden erhaltenen Nachrichten
ermittelt wurde, unplausibel. Daher ist die Genauigkeit der
Ergebnisse der übergeordneten Verwaltungsbezirke einge-
schränkt. Die Gründe hierfür liegen offenbar in der melde-
rechtlichen Behandlung von Schutzsuchenden. Die Unstimmig-
keiten konnten nicht abschließend aufgelöst werden.

Hinweis zur Gemeinde Nordkirchen:
In der Gemeinde Nordkirchen sind u. a. aufgrund eines
Erhebungsfehlers des Zensus 2011 bis zum Stichtag
31.08.2013 falsche Bevölkerungszahlen entstanden. Eine
Korrektur wurde nach den Methoden der
Bevölkerungsfortschreibung zum Stich- tag 30.09.2013
durchgeführt.

Die Fortschreibung des Bevölkerungsstandes basiert ab dem
Jahr 2023 auf den Ergebnissen des Zensus 2022

Die Fortschreibung des Bevölkerungsstandes basiert ab dem
Jahr 2011 auf den Ergebnissen des Zensus 2011.

Die Fortschreibung des Bevölkerungsstandes basiert für die
Jahre 1987 bis 2010 auf den Ergebnissen der Volkszählung
von 1987."
© IT.NRW, Düsseldorf, 2026. Dieses Werk ist lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0.
Stand: 19.01.2026 / 13:58:12
