Tabelle: 22811-05i
Sozialberichterstattung in der amtlichen Statistik:;;;;;;;;;;
Empfänger/innen von sozialen Mindestsicherungsleistungen;;;;;;;;;;
nach Art der Leistung - Gemeinden (Wohnortprinzip) - Jahr;;;;;;;;;;
Sozialberichterstattung in der amtlichen Statistik;;;;;;;;;;
;;;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung;Empfänger/innen von soz. Mindestsicherungsleistung
;;;Gesamtregelleistung (ALG II/Sozialgeld) nach dem SGB II;Insgesamt;Gesamtregelleistung (ALG II/Sozialgeld) nach dem SGB II;Hilfe zum Lebensunterhalt außerhalb von Einrichtungen nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Grundsicherung im Alter und bei Erwerbsminderung nach dem SGB XII;Regelleistungen nach dem Asylbewerberleistungsgesetz
;;;;;;;Insgesamt;im Alter;bei Erwerbsminderung;
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2024;05362036;      Pulheim, Stadt;2086;3136;2086;50;540;350;190;460
2024;05362040;      Wesseling, Stadt;3161;3611;3161;105;345;250;100;-
2024;05366;    Euskirchen, Kreis;10504;15574;10504;280;2970;1430;1540;1820
2024;05366004;      Bad Münstereifel, Stadt;664;1044;664;30;250;140;110;100
2024;05366008;      Blankenheim;413;638;413;10;165;70;95;50
2024;05366012;      Dahlem;177;222;177;-;35;15;20;10
2024;05366016;      Euskirchen, Stadt;4438;5873;4438;105;970;545;425;360
2024;05366020;      Hellenthal;336;476;336;15;80;40;40;45
2024;05366024;      Kall;524;754;524;15;185;65;120;30
2024;05366028;      Mechernich, Stadt;1328;1978;1328;40;465;200;265;145
2024;05366032;      Nettersheim;143;818;143;10;75;35;40;590
2024;05366036;      Schleiden, Stadt;752;1367;752;20;245;95;150;350
2024;05366040;      Weilerswist;741;991;741;10;175;100;75;65
2024;05366044;      Zülpich, Stadt;988;1418;988;30;325;130;200;75
2024;05370;    Heinsberg, Kreis;15917;22052;15917;585;3955;1880;2075;1595
2024;05370004;      Erkelenz, Stadt;2325;3235;2325;110;605;320;285;195
2024;05370008;      Gangelt;486;941;486;30;405;130;280;20
2024;05370012;      Geilenkirchen, Stadt;1974;2664;1974;85;465;215;255;140
2024;05370016;      Heinsberg, Stadt;2742;3777;2742;100;800;400;400;135
2024;05370020;      Hückelhoven, Stadt;3219;4239;3219;90;655;290;365;275
2024;05370024;      Selfkant;421;601;421;10;85;60;25;85
2024;05370028;      Übach-Palenberg, Stadt;2022;2527;2022;50;315;145;170;140
2024;05370032;      Waldfeucht;346;461;346;5;75;40;35;35
2024;05370036;      Wassenberg, Stadt;1033;1458;1033;45;240;140;100;140
2024;05370040;      Wegberg, Stadt;1349;2149;1349;70;305;140;165;425
2024;05374;    Oberbergischer Kreis;15123;20488;15123;440;3950;2185;1765;975
2024;05374004;      Bergneustadt, Stadt;1476;1841;1476;45;285;175;110;35
2024;05374008;      Engelskirchen;810;1060;810;15;195;130;65;40
2024;05374012;      Gummersbach, Stadt;3965;5105;3965;130;940;585;355;70
2024;05374016;      Hückeswagen, Stadt;798;1073;798;20;185;90;90;70
2024;05374020;      Lindlar;736;1081;736;20;185;90;95;140
2024;05374024;      Marienheide;575;785;575;20;150;70;80;40
2024;05374028;      Morsbach;489;729;489;15;190;80;110;35
2024;05374032;      Nümbrecht;653;1038;653;40;270;125;150;75
2024;05374036;      Radevormwald, Stadt;1406;1796;1406;25;275;160;110;90
2024;05374040;      Reichshof;962;1407;962;30;290;165;125;125
2024;05374044;      Waldbröl, Stadt;1452;1847;1452;25;340;200;140;30
2024;05374048;      Wiehl, Stadt;881;1351;881;30;325;175;155;115
2024;05374052;      Wipperfürth, Stadt;920;1370;920;30;315;130;185;105
2024;05378;    Rheinisch-Bergischer Kreis;17922;23422;17922;315;3740;2415;1325;1445
2024;05378004;      Bergisch Gladbach, Stadt;8345;10645;8345;170;1810;1165;645;320
2024;05378008;      Burscheid, Stadt;1313;1628;1313;10;225;135;90;80
2024;05378012;      Kürten;974;1359;974;20;210;140;70;155
2024;05378016;      Leichlingen (Rhld.), Stadt;1520;1975;1520;20;275;195;80;160
2024;05378020;      Odenthal;529;754;529;15;90;55;35;120
2024;05378024;      Overath, Stadt;1632;2012;1632;25;275;195;80;80
2024;05378028;      Rösrath, Stadt;1634;2349;1634;15;435;270;165;265
2024;05378032;      Wermelskirchen, Stadt;1975;2700;1975;40;420;260;160;265
2024;05382;    Rhein-Sieg-Kreis;35234;47514;35234;1070;7845;4870;2975;3365
2024;05382004;      Alfter;1015;1385;1015;80;195;140;55;95
2024;05382008;      Bad Honnef, Stadt;1198;1668;1198;40;380;210;170;50
2024;05382012;      Bornheim, Stadt;2053;2983;2053;115;530;340;190;285
2024;05382016;      Eitorf;1604;2214;1604;70;375;210;165;165
2024;05382020;      Hennef (Sieg), Stadt;2465;3385;2465;80;540;370;170;300
2024;05382024;      Königswinter, Stadt;2079;2919;2079;70;470;320;150;300
2024;05382028;      Lohmar, Stadt;1309;1834;1309;30;290;200;90;205
2024;05382032;      Meckenheim, Stadt;1359;1974;1359;40;375;255;115;200
2024;05382036;      Much;728;1113;728;15;265;75;190;105
2024;05382040;      Neunkirchen-Seelscheid;974;1309;974;20;180;125;55;135
2024;05382044;      Niederkassel, Stadt;1930;2530;1930;35;345;205;140;220
2024;05382048;      Rheinbach, Stadt;1212;1587;1212;55;235;145;90;85
2024;05382052;      Ruppichteroth;548;733;548;15;135;95;40;35
2024;05382056;      Sankt Augustin, Stadt;4096;5511;4096;65;785;465;320;565
2024;05382060;      Siegburg, Stadt;3637;4727;3637;120;885;535;345;85
2024;05382064;      Swisttal;711;1031;711;25;195;115;80;100
2024;05382068;      Troisdorf, Stadt;6068;7613;6068;115;1260;805;455;170
2024;05382072;      Wachtberg;724;1019;724;25;135;95;40;135
2024;05382076;      Windeck;1524;1969;1524;45;270;155;120;130
2024;055;  Münster, Regierungsbezirk;211594;271384;211594;3975;42245;24035;18210;13570
2024;05512;    Bottrop, krfr. Stadt;10700;13150;10700;215;1625;930;695;610
2024;05513;    Gelsenkirchen, krfr. Stadt;50380;58015;50380;540;5945;3780;2165;1150
2024;05515;    Münster, krfr. Stadt;18958;26628;18958;605;5330;3170;2160;1735
2024;05554;    Borken, Kreis;17261;23891;17261;425;4735;2500;2235;1470
2024;05554004;      Ahaus, Stadt;1519;2144;1519;45;430;230;200;150
2024;05554008;      Bocholt, Stadt;4491;5776;4491;50;980;540;440;255
2024;05554012;      Borken, Stadt;1874;2604;1874;50;540;300;240;140
2024;05554016;      Gescher, Stadt;745;1175;745;30;320;110;210;80
2024;05554020;      Gronau (Westf.), Stadt;3282;4507;3282;80;1015;570;440;130
2024;05554024;      Heek;251;366;251;10;80;35;45;25
2024;05554028;      Heiden;334;449;334;15;60;20;40;40
2024;05554032;      Isselburg, Stadt;480;595;480;10;75;45;35;30
2024;05554036;      Legden;328;413;328;5;55;35;20;25
2024;05554040;      Raesfeld;340;435;340;-;75;45;30;20
2024;05554044;      Reken;471;726;471;10;205;85;120;40
2024;05554048;      Rhede, Stadt;696;986;696;30;190;105;85;70
2024;05554052;      Schöppingen;138;473;138;-;65;30;35;270
2024;05554056;      Stadtlohn, Stadt;736;1011;736;30;180;90;90;65
2024;05554060;      Südlohn;245;380;245;15;75;40;35;45
2024;05554064;      Velen, Stadt;481;676;481;15;125;70;55;55
2024;05554068;      Vreden, Stadt;850;1180;850;30;270;155;115;30
2024;05558;    Coesfeld, Kreis;10335;15145;10335;340;2970;1550;1420;1500
2024;05558004;      Ascheberg;641;1066;641;45;245;105;140;135
2024;05558008;      Billerbeck, Stadt;489;659;489;5;95;40;60;70
2024;05558012;      Coesfeld, Stadt;1868;2633;1868;50;540;305;235;175
2024;05558016;      Dülmen, Stadt;2216;3256;2216;75;745;365;380;220
2024;05558020;      Havixbeck;571;856;571;15;210;85;125;60
2024;05558024;      Lüdinghausen, Stadt;1232;1937;1232;50;310;195;115;345
2024;05558028;      Nordkirchen;505;695;505;15;85;50;35;90
2024;05558032;      Nottuln;909;1304;909;30;240;130;110;125
2024;05558036;      Olfen, Stadt;526;751;526;20;110;65;50;95
2024;05558040;      Rosendahl;403;538;403;5;60;30;30;70
2024;05558044;      Senden;975;1445;975;30;330;185;145;110
2024;05562;    Recklinghausen, Kreis;65150;80155;65150;1015;10930;6560;4370;3060
2024;05562004;      Castrop-Rauxel, Stadt;7065;9360;7065;155;1250;750;500;890
2024;05562008;      Datteln, Stadt;3338;4078;3338;50;550;300;250;140
2024;05562012;      Dorsten, Stadt;5631;7426;5631;125;1265;765;500;405
2024;05562014;      Gladbeck, Stadt;11054;13109;11054;155;1495;900;595;405
2024;05562016;      Haltern am See, Stadt;1721;2406;1721;45;405;255;150;235
2024;05562020;      Herten, Stadt;6623;8003;6623;95;1120;650;470;165
2024;05562024;      Marl, Stadt;10806;12791;10806;135;1545;905;640;305
2024;05562028;      Oer-Erkenschwick, Stadt;2738;3408;2738;55;495;285;210;120
2024;05562032;      Recklinghausen, Stadt;14118;16943;14118;170;2425;1520;905;230
2024;05562036;      Waltrop, Stadt;2056;2626;2056;25;380;230;150;165
2024;05566;    Steinfurt, Kreis;23148;33023;23148;525;6915;3515;3400;2435
2024;05566004;      Altenberge;419;604;419;10;130;70;60;45
2024;05566008;      Emsdetten, Stadt;1617;2362;1617;50;505;275;230;190
2024;05566012;      Greven, Stadt;1881;2746;1881;45;530;290;245;290
2024;05566016;      Hörstel, Stadt;886;1201;886;10;210;110;105;95
2024;05566020;      Hopsten;308;468;308;10;80;30;50;70
2024;05566024;      Horstmar, Stadt;312;442;312;5;70;30;40;55
2024;05566028;      Ibbenbüren, Stadt;2429;3804;2429;35;785;400;385;555
2024;05566032;      Ladbergen;312;417;312;5;60;35;25;40
2024;05566036;      Laer;328;478;328;5;90;45;50;55
2024;05566040;      Lengerich, Stadt;985;1630;985;40;475;200;275;130
2024;05566044;      Lienen;304;484;304;10;120;40;75;50
2024;05566048;      Lotte;733;1013;733;25;195;130;65;60
2024;05566052;      Metelen;294;429;294;5;90;40;50;40
2024;05566056;      Mettingen;405;560;405;10;120;60;65;25
2024;05566060;      Neuenkirchen;591;826;591;10;165;95;70;60
2024;05566064;      Nordwalde;471;586;471;5;85;40;45;25
2024;05566068;      Ochtrup, Stadt;1239;1654;1239;20;300;135;165;95
2024;05566072;      Recke;472;647;472;15;110;60;50;50
2024;05566076;      Rheine, Stadt;5170;7040;5170;120;1640;900;740;110
2024;05566080;      Saerbeck;286;406;286;5;80;50;35;35
2024;05566084;      Steinfurt, Stadt;2466;3421;2466;55;640;315;330;260
2024;05566088;      Tecklenburg, Stadt;333;513;333;15;145;45;100;20
2024;05566092;      Westerkappeln;513;738;513;10;160;85;75;55
2024;05566096;      Wettringen;394;554;394;10;125;40;80;25
2024;05570;    Warendorf, Kreis;15662;21367;15662;310;3785;2025;1760;1610
2024;05570004;      Ahlen, Stadt;4898;6128;4898;100;1020;535;485;110
2024;05570008;      Beckum, Stadt;2605;3390;2605;45;690;375;315;50
2024;05570012;      Beelen;296;391;296;-;50;35;15;45
2024;05570016;      Drensteinfurt, Stadt;603;933;603;20;140;80;60;170
2024;05570020;      Ennigerloh, Stadt;1060;1620;1060;20;270;150;120;270
2024;05570024;      Everswinkel;356;531;356;5;95;45;50;75
2024;05570028;      Oelde, Stadt;1163;1533;1163;30;270;155;115;70
2024;05570032;      Ostbevern;477;627;477;5;95;45;50;50
2024;05570036;      Sassenberg, Stadt;552;797;552;10;150;80;70;85
2024;05570040;      Sendenhorst, Stadt;636;936;636;5;145;80;70;150
2024;05570044;      Telgte, Stadt;749;1129;749;15;240;125;115;125
2024;05570048;      Wadersloh;437;742;437;15;140;70;75;150
2024;05570052;      Warendorf, Stadt;1830;2600;1830;40;470;255;215;260
2024;057;  Detmold, Regierungsbezirk;141558;188658;141558;2965;32805;19055;13750;11330
2024;05711;    Bielefeld, krfr. Stadt;33262;43127;33262;795;7805;4490;3320;1265
2024;05754;    Gütersloh, Kreis;18986;26391;18986;340;4355;2565;1790;2710
2024;05754004;      Borgholzhausen, Stadt;395;545;395;10;70;45;25;70
2024;05754008;      Gütersloh, Stadt;6665;9250;6665;120;1670;995;670;795
2024;05754012;      Halle (Westf.), Stadt;1130;1610;1130;25;305;170;135;150
2024;05754016;      Harsewinkel, Stadt;1177;1547;1177;10;245;150;95;115
2024;05754020;      Herzebrock-Clarholz;668;903;668;10;130;75;60;95
2024;05754024;      Langenberg;311;426;311;5;55;35;20;55
2024;05754028;      Rheda-Wiedenbrück, Stadt;2564;3544;2564;35;580;360;220;365
2024;05754032;      Rietberg, Stadt;1446;1986;1446;20;230;140;90;290
2024;05754036;      Schloß Holte-Stukenbrock, Stadt;1087;1452;1087;25;220;140;85;120
2024;05754040;      Steinhagen;927;1392;927;25;255;160;95;185
2024;05754044;      Verl, Stadt;833;1358;833;15;210;95;115;300
2024;05754048;      Versmold, Stadt;1222;1597;1222;20;220;120;100;135
2024;05754052;      Werther (Westf.), Stadt;561;776;561;20;160;80;80;35
2024;05758;    Herford, Kreis;16194;21559;16194;455;3800;2160;1640;1110
2024;05758004;      Bünde, Stadt;2690;3580;2690;85;750;410;340;55
2024;05758008;      Enger, Stadt;999;1339;999;20;175;105;75;145
2024;05758012;      Herford, Stadt;6531;8781;6531;160;1565;900;670;525
2024;05758016;      Hiddenhausen;918;1203;918;20;190;110;80;75
2024;05758020;      Kirchlengern;713;938;713;15;170;105;65;40
2024;05758024;      Löhne, Stadt;2518;3148;2518;60;510;290;220;60
2024;05758028;      Rödinghausen;445;625;445;20;90;50;40;70
2024;05758032;      Spenge, Stadt;542;757;542;25;125;85;45;65
2024;05758036;      Vlotho, Stadt;838;1163;838;40;220;110;110;65
2024;05762;    Höxter, Kreis;6757;10222;6757;225;1785;920;865;1455
2024;05762004;      Bad Driburg, Stadt;1002;1817;1002;35;320;185;135;460
2024;05762008;      Beverungen, Stadt;858;1063;858;25;165;90;75;15
2024;05762012;      Borgentreich, Stadt;271;791;271;10;60;35;25;450
2024;05762016;      Brakel, Stadt;826;1091;826;15;185;95;95;65
2024;05762020;      Höxter, Stadt;1385;1985;1385;50;360;195;165;190
2024;05762024;      Marienmünster, Stadt;172;237;172;5;30;20;10;30
2024;05762028;      Nieheim, Stadt;266;366;266;5;40;30;10;55
2024;05762032;      Steinheim, Stadt;527;717;527;20;115;65;55;55
2024;05762036;      Warburg, Stadt;1043;1613;1043;50;405;170;240;115
2024;05762040;      Willebadessen, Stadt;407;542;407;15;100;45;55;20
2024;05766;    Lippe, Kreis;23688;30933;23688;375;5210;3150;2065;1660
2024;05766004;      Augustdorf;603;713;603;5;85;40;50;20
2024;05766008;      Bad Salzuflen, Stadt;4547;5757;4547;40;910;635;275;260
2024;05766012;      Barntrup, Stadt;653;823;653;5;130;60;65;35
2024;05766016;      Blomberg, Stadt;723;913;723;5;125;80;45;60
2024;05766020;      Detmold, Stadt;6799;8369;6799;115;1365;825;540;90
2024;05766024;      Dörentrup;352;497;352;15;60;35;25;70
2024;05766028;      Extertal;728;933;728;15;135;80;55;55
2024;05766032;      Horn-Bad Meinberg, Stadt;1258;1598;1258;20;275;170;105;45
2024;05766036;      Kalletal;614;914;614;10;160;75;80;130
2024;05766040;      Lage, Stadt;2503;3378;2503;30;525;360;165;320
2024;05766044;      Lemgo, Stadt;2147;3232;2147;50;835;390;445;200
2024;05766048;      Leopoldshöhe;606;921;606;25;155;115;40;135
2024;05766052;      Lügde, Stadt;489;619;489;5;85;45;45;40
2024;05766056;      Oerlinghausen, Stadt;787;1002;787;10;155;120;35;50
2024;05766060;      Schieder-Schwalenberg, Stadt;383;558;383;10;115;60;55;50
2024;05766064;      Schlangen;496;711;496;20;95;65;30;100
2024;05770;    Minden-Lübbecke, Kreis;23517;30602;23517;355;5250;2910;2340;1480
2024;05770004;      Bad Oeynhausen, Stadt;3719;5139;3719;60;1080;585;490;280
