Tabelle: 12411-02-03-4
Bevölkerung nach Geschlecht und Altersgruppen (17) -;;;;;;
Stichtag 31.12. - regionale Tiefe: Kreise und krfr. Städte;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;
Bevölkerungsstand (Anzahl);;;;;;
;;;;Insgesamt;männlich;weiblich
31.12.2023;05370;      Heinsberg, Kreis;10 bis unter 15 Jahre;12091;6105;5986
31.12.2023;05370;      Heinsberg, Kreis;15 bis unter 18 Jahre;7557;3912;3645
31.12.2023;05370;      Heinsberg, Kreis;18 bis unter 20 Jahre;5180;2772;2408
31.12.2023;05370;      Heinsberg, Kreis;Insgesamt;262149;129850;132299
31.12.2023;05374;      Oberbergischer Kreis;6 bis unter 10 Jahre;11198;5650;5548
31.12.2023;05374;      Oberbergischer Kreis;10 bis unter 15 Jahre;13249;6667;6582
31.12.2023;05374;      Oberbergischer Kreis;15 bis unter 18 Jahre;8121;4100;4021
31.12.2023;05374;      Oberbergischer Kreis;18 bis unter 20 Jahre;5450;2781;2669
31.12.2023;05374;      Oberbergischer Kreis;Insgesamt;273963;134964;138999
31.12.2023;05378;      Rheinisch-Bergischer Kreis;6 bis unter 10 Jahre;11077;5616;5461
31.12.2023;05378;      Rheinisch-Bergischer Kreis;10 bis unter 15 Jahre;13237;6873;6364
31.12.2023;05378;      Rheinisch-Bergischer Kreis;15 bis unter 18 Jahre;8180;4138;4042
31.12.2023;05378;      Rheinisch-Bergischer Kreis;18 bis unter 20 Jahre;5397;2868;2529
31.12.2023;05378;      Rheinisch-Bergischer Kreis;Insgesamt;283607;137749;145858
31.12.2023;05382;      Rhein-Sieg-Kreis;6 bis unter 10 Jahre;24110;12512;11598
31.12.2023;05382;      Rhein-Sieg-Kreis;10 bis unter 15 Jahre;29193;15258;13935
31.12.2023;05382;      Rhein-Sieg-Kreis;15 bis unter 18 Jahre;18042;9384;8658
31.12.2023;05382;      Rhein-Sieg-Kreis;18 bis unter 20 Jahre;12076;6537;5539
31.12.2023;05382;      Rhein-Sieg-Kreis;Insgesamt;605283;297757;307526
31.12.2023;055;    Münster, Regierungsbezirk;6 bis unter 10 Jahre;105427;54023;51404
31.12.2023;055;    Münster, Regierungsbezirk;10 bis unter 15 Jahre;124079;63924;60155
31.12.2023;055;    Münster, Regierungsbezirk;15 bis unter 18 Jahre;77482;40208;37274
31.12.2023;055;    Münster, Regierungsbezirk;18 bis unter 20 Jahre;54349;28316;26033
31.12.2023;055;    Münster, Regierungsbezirk;Insgesamt;2654384;1306376;1348008
31.12.2023;05512;      Bottrop, kreisfreie Stadt;6 bis unter 10 Jahre;4500;2307;2193
31.12.2023;05512;      Bottrop, kreisfreie Stadt;10 bis unter 15 Jahre;5177;2684;2493
31.12.2023;05512;      Bottrop, kreisfreie Stadt;15 bis unter 18 Jahre;3166;1608;1558
31.12.2023;05512;      Bottrop, kreisfreie Stadt;18 bis unter 20 Jahre;2142;1125;1017
31.12.2023;05512;      Bottrop, kreisfreie Stadt;Insgesamt;118912;57824;61088
31.12.2023;05513;      Gelsenkirchen, kreisfreie Stadt;6 bis unter 10 Jahre;11597;5925;5672
31.12.2023;05513;      Gelsenkirchen, kreisfreie Stadt;10 bis unter 15 Jahre;13694;7110;6584
31.12.2023;05513;      Gelsenkirchen, kreisfreie Stadt;15 bis unter 18 Jahre;8317;4302;4015
31.12.2023;05513;      Gelsenkirchen, kreisfreie Stadt;18 bis unter 20 Jahre;5693;2990;2703
31.12.2023;05513;      Gelsenkirchen, kreisfreie Stadt;Insgesamt;267284;132104;135180
31.12.2023;05515;      Münster, kreisfreie Stadt;6 bis unter 10 Jahre;10687;5586;5101
31.12.2023;05515;      Münster, kreisfreie Stadt;10 bis unter 15 Jahre;12482;6460;6022
31.12.2023;05515;      Münster, kreisfreie Stadt;15 bis unter 18 Jahre;7652;4006;3646
31.12.2023;05515;      Münster, kreisfreie Stadt;18 bis unter 20 Jahre;7031;3277;3754
31.12.2023;05515;      Münster, kreisfreie Stadt;Insgesamt;307071;146826;160245
31.12.2023;05554;      Borken, Kreis;6 bis unter 10 Jahre;15776;8018;7758
31.12.2023;05554;      Borken, Kreis;10 bis unter 15 Jahre;18867;9398;9469
31.12.2023;05554;      Borken, Kreis;15 bis unter 18 Jahre;11759;6059;5700
31.12.2023;05554;      Borken, Kreis;18 bis unter 20 Jahre;7936;4189;3747
31.12.2023;05554;      Borken, Kreis;Insgesamt;379787;190028;189759
31.12.2023;05558;      Coesfeld, Kreis;6 bis unter 10 Jahre;9101;4528;4573
31.12.2023;05558;      Coesfeld, Kreis;10 bis unter 15 Jahre;10314;5330;4984
31.12.2023;05558;      Coesfeld, Kreis;15 bis unter 18 Jahre;6717;3441;3276
31.12.2023;05558;      Coesfeld, Kreis;18 bis unter 20 Jahre;4413;2294;2119
31.12.2023;05558;      Coesfeld, Kreis;Insgesamt;226217;111646;114571
31.12.2023;05562;      Recklinghausen, Kreis;6 bis unter 10 Jahre;24193;12397;11796
31.12.2023;05562;      Recklinghausen, Kreis;10 bis unter 15 Jahre;28527;14888;13639
31.12.2023;05562;      Recklinghausen, Kreis;15 bis unter 18 Jahre;17592;9164;8428
31.12.2023;05562;      Recklinghausen, Kreis;18 bis unter 20 Jahre;11815;6303;5512
31.12.2023;05562;      Recklinghausen, Kreis;Insgesamt;622855;304087;318768
31.12.2023;05566;      Steinfurt, Kreis;6 bis unter 10 Jahre;18271;9469;8802
31.12.2023;05566;      Steinfurt, Kreis;10 bis unter 15 Jahre;21557;11094;10463
31.12.2023;05566;      Steinfurt, Kreis;15 bis unter 18 Jahre;13717;7217;6500
31.12.2023;05566;      Steinfurt, Kreis;18 bis unter 20 Jahre;9382;4982;4400
31.12.2023;05566;      Steinfurt, Kreis;Insgesamt;450042;224112;225930
31.12.2023;05570;      Warendorf, Kreis;6 bis unter 10 Jahre;11302;5793;5509
31.12.2023;05570;      Warendorf, Kreis;10 bis unter 15 Jahre;13461;6960;6501
31.12.2023;05570;      Warendorf, Kreis;15 bis unter 18 Jahre;8562;4411;4151
31.12.2023;05570;      Warendorf, Kreis;18 bis unter 20 Jahre;5937;3156;2781
31.12.2023;05570;      Warendorf, Kreis;Insgesamt;282216;139749;142467
31.12.2023;057;    Detmold, Regierungsbezirk;6 bis unter 10 Jahre;83132;42703;40429
