Tabelle: 22811-01i
Sozialberichterstattung in der amtlichen Statistik:;;
Mindestsicherungsquote - Gemeinden (Wohnortprinzip) -Jahr;;
Sozialberichterstattung in der amtlichen Statistik;;
Mindestsicherungsquote (Prozent);;
;;Jahr
;;2023
05566040;      Lengerich, Stadt;7,4
05566044;      Lienen;5,4
05566048;      Lotte;7,3
05566052;      Metelen;5,9
05566056;      Mettingen;4,6
05566060;      Neuenkirchen;5,9
05566064;      Nordwalde;5,7
05566068;      Ochtrup, Stadt;8,1
05566072;      Recke;5,6
05566076;      Rheine, Stadt;9,0
05566080;      Saerbeck;5,3
05566084;      Steinfurt, Stadt;9,5
05566088;      Tecklenburg, Stadt;6,1
05566092;      Westerkappeln;6,5
05566096;      Wettringen;5,9
05570;    Warendorf, Kreis;7,0
05570004;      Ahlen, Stadt;11,2
05570008;      Beckum, Stadt;8,9
05570012;      Beelen;6,6
05570016;      Drensteinfurt, Stadt;4,9
05570020;      Ennigerloh, Stadt;6,8
05570024;      Everswinkel;4,7
05570028;      Oelde, Stadt;4,6
05570032;      Ostbevern;5,4
05570036;      Sassenberg, Stadt;5,4
05570040;      Sendenhorst, Stadt;5,3
05570044;      Telgte, Stadt;5,4
05570048;      Wadersloh;5,1
05570052;      Warendorf, Stadt;6,4
057;  Detmold, Regierungsbezirk;9,1
05711;    Bielefeld, krfr. Stadt;13,1
05754;    Gütersloh, Kreis;7,2
05754004;      Borgholzhausen, Stadt;6,0
05754008;      Gütersloh, Stadt;9,0
05754012;      Halle (Westf.), Stadt;7,4
05754016;      Harsewinkel, Stadt;6,4
05754020;      Herzebrock-Clarholz;5,0
05754024;      Langenberg;4,8
05754028;      Rheda-Wiedenbrück, Stadt;7,3
05754032;      Rietberg, Stadt;7,0
05754036;      Schloß Holte-Stukenbrock, Stadt;5,6
05754040;      Steinhagen;6,6
05754044;      Verl, Stadt;5,2
05754048;      Versmold, Stadt;7,2
05754052;      Werther (Westf.), Stadt;6,9
05758;    Herford, Kreis;8,4
05758004;      Bünde, Stadt;7,5
05758008;      Enger, Stadt;6,7
05758012;      Herford, Stadt;13,2
05758016;      Hiddenhausen;6,0
05758020;      Kirchlengern;5,9
05758024;      Löhne, Stadt;7,3
05758028;      Rödinghausen;5,9
05758032;      Spenge, Stadt;5,5
05758036;      Vlotho, Stadt;6,1
05762;    Höxter, Kreis;7,3
05762004;      Bad Driburg, Stadt;8,9
05762008;      Beverungen, Stadt;8,8
05762012;      Borgentreich, Stadt;8,5
05762016;      Brakel, Stadt;6,5
05762020;      Höxter, Stadt;7,1
05762024;      Marienmünster, Stadt;5,7
05762028;      Nieheim, Stadt;6,2
05762032;      Steinheim, Stadt;6,2
05762036;      Warburg, Stadt;7,0
05762040;      Willebadessen, Stadt;6,2
05766;    Lippe, Kreis;8,8
05766004;      Augustdorf;7,1
05766008;      Bad Salzuflen, Stadt;11,0
05766012;      Barntrup, Stadt;9,4
05766016;      Blomberg, Stadt;6,5
05766020;      Detmold, Stadt;10,9
05766024;      Dörentrup;7,3
05766028;      Extertal;8,5
05766032;      Horn-Bad Meinberg, Stadt;9,3
05766036;      Kalletal;6,6
05766040;      Lage, Stadt;9,3
05766044;      Lemgo, Stadt;7,6
05766048;      Leopoldshöhe;5,1
05766052;      Lügde, Stadt;7,1
05766056;      Oerlinghausen, Stadt;5,8
05766060;      Schieder-Schwalenberg, Stadt;7,0
05766064;      Schlangen;7,5
05770;    Minden-Lübbecke, Kreis;9,6
05770004;      Bad Oeynhausen, Stadt;10,3
05770008;      Espelkamp, Stadt;8,6
05770012;      Hille;4,9
05770016;      Hüllhorst;4,9
05770020;      Lübbecke, Stadt;8,1
05770024;      Minden, Stadt;15,2
05770028;      Petershagen, Stadt;7,8
05770032;      Porta Westfalica, Stadt;7,3
05770036;      Preußisch Oldendorf, Stadt;6,0
05770040;      Rahden, Stadt;6,2
05770044;      Stemwede;5,1
05774;    Paderborn, Kreis;8,2
05774004;      Altenbeken;6,3
05774008;      Bad Lippspringe, Stadt;10,6
05774012;      Borchen;6,1
05774016;      Büren, Stadt;7,1
